title,company,location,category,jobtype,salary,jd,avgsalary,mainloc,mainlocation
Experienced Associate - System Support Engineer,PWC CORPORATION Sdn Bhd,KUALA LUMPUR,Networks & Systems Administration (Information & Communication Technology),Full time,,"Line of ServiceTaxIndustry/SectorNot ApplicableSpecialismTechnology StrategyManagement LevelAssociateJob Description & SummaryA career within Tax Technology services, will provide you with the opportunity to work directly with senior Information Technology professionals within PwC, as well as with our clients, in order to provide specialised assistance to troubleshoot and resolve issues surrounding the technical application aspects of our tax technology solutions.Our team is responsible for acting as the direct liaison with information technology professionals at PwC and our clients by providing specialised assistance to troubleshoot and resolve issues with our tax technology solutions. You’ll focus on utilising proprietary web applications and managing technology support.
To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.
System Support Engineer is responsible for system support, problem escalation and resolution for applications. The position is also accountable for system testing and documentation.

Provide technical support and on-going services to end users via ServiceNow.
Acts as a liaison between the users and the business and development teams.
Participate in requirements analysis and review sessions Coordinate with cross functional teams for issues not resolved at L2 level.
Participation in daily scrum meetings and weekly global cross-meetings.
Creates and maintains up-to-date documentation (ServiceNow solutions, FAQs, Release Notes, User Guide published in Google site/Shared drive). Execute system testing and assist with deployment activities. Opportunity to work on the design and development of no-code applications (training will be provided).

As an Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:

Invite and give in the moment feedback in a constructive manner.
Share and collaborate effectively with others.
Identify and make suggestions for improvements when problems and/or opportunities arise.
Handle, manipulate and analyse data and information responsibly.
Follow risk management and compliance procedures.
Keep up-to-date with developments in area of specialism.
Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce.
Build and maintain an internal and external network.
Seek opportunities to learn about how PwC works as a global network of firms.
Uphold the firm's code of ethics and business conduct.

Preferred skills

Recognized University Degree in Computer Science/Information Technology or related discipline.
1-2 years of working experience. Fresh graduates are encouraged to apply

Those with work experience must have the following:

Knowledge of ITIL standard methodologies (ITIL foundation certification would be an advantage)
Familiarity with Azure DevOps
Familiarity with ServiceNow platform
Basic knowledge of SQL Server


Good analytical skills, ability to multitask and prioritize.
Ability to work independently on individual assignments and collectively with a team on larger projects.
Good interpersonal skills: Writing skills & communication skills.
Availability to work extended hours when needed.

Education (if blank, degree and/or field of study not specified)Degrees/Field of Study required:Degrees/Field of Study preferred:Certifications (if blank, certifications not specified)
Required Skills
Optional Skills
Desired Languages (If blank, desired languages not specified)
Travel RequirementsNot SpecifiedAvailable for Work Visa Sponsorship?NoGovernment Clearance Required?NoJob Posting End DateApril 30, 2024",0,KUALA LUMPUR,KUALA LUMPUR
Operations Specialist,Xevera Sdn Bhd,KUALA LUMPUR,Programme & Project Management (Information & Communication Technology),Full time,,"DescriptionYour role at Xevera:
The Operations Specialist supports Customer and Account Management Operations in achieving programme and operational goals. The core responsibilities include process analysis and optimisation, managing the silos of the team’s escalations and seeing to their resolution, and preparation of the periodic KPI reports. Assisting Operations Manager on day-to-day tasks.
You will:- Support the team with process analysis and optimisation initiatives- Track the key issues relevant to customer and produce periodic reports- Partner with relevant departments to refine the lead qualification process, analyze and report on campaign performance with reporting and dashboards- To prepare and maintain daily, weekly, monthly and quarterly reports and work with the leadership team on the Key Performance Indicators- Take ownership of updating department policies, procedures and training manuals; related resource material per business need- Oversee completion of the assigned initiatives to enhance the department productivity by optimizing processes, procedures and adopting advanced automation technologies.- To assist the Head of Account Management Operations and Operations Manager with ad-hoc projects related to consumer experience- Manage Technology, KYC, and Payments related escalations reported by Account Managers- Managing projects at the department level and possess the ability to manage priorities and stakeholders.
What makes you a great fit:- Native speaker and possess both excellent verbal / written communication skills in English- Minimum 3- 4 years work experience in the Project Management focusing on operational functions- Must have a relevant industry experience in finance, fin-Tech and Operations Management - Proven track record of designing and implementing project management- Experience integrating with CRM systems, databases, and other enterprise tools- Experience in data analysis- Experienced in process automations - CRM (salesforce, marketing cloud).- Experienced in latest technologies - Neural Networks, Machine Learning, Artificial Intelligence- Able to work in a team and individually when need be- A proven record of meeting Business KPIs and project management- A problem-solver with an analytical data-driven mindset. 
CompanyXevera is a 100% foreign-owned legal entity that focuses on the activities of call centres and other business support services for Exness. It is incorporated on 3 July 2018 in Kuala Lumpur as part of the Exness group and is principally engaged in activities of business support activities for Exness. Xevera principal activities support Exness’ business in more than 130 countries with the need for niche cultural and geographical specialization, including approximately 27 native-language specializations.
The perks/benefits provided by Xevera include but are not limited to the following:- Local Medical Insurance- Dental & Optical Benefit- Marriage & Baby Token- Immunization/ Vaccination Coverage- Flight Ticket & Accommodation Benefits- Gym & Sports Activities Benefit- School & Kindergarten Program",0,KUALA LUMPUR,KUALA LUMPUR
business analyst,Innovatz Solutions Sdn Bhd,KUALA LUMPUR,Management (Information & Communication Technology),Contract/Temp,,"Description• Analyze all business systems for multiple projects and document all business specifications and participate in various meetings for system groups and perform tests on the same and assist in analyzing all system defects.• Analyze all internal and external business requirements and provide detailed specifications for all eCommerce sites and manage communication with all participants in projects.• Organize and participate in various department coordination meetings and assist all project managers in prioritizing all the development processes and validating all results.• Prepare documents for all eCommerce business procedures and analyze all site traffic to recommend efficient marketing plans and administer all email programs and search engine marketing activities.• Supervise and document all interface requirements for the functional department and analyze and recommend strategies to enhance projects and coordinate with the digital marketing team and analyze all projects from conceptualization to implementation.• Evaluate all creative products and develop all business timeframe and production schedules for projects and develop various key performance metrics for all eCommerce activities.• Analyze and recommend improvements to all sites and prepare reports for productivity programs and coordinate with the team to design effective test strategies to increase site productivity for all eCommerce procedures.• Design all daily reports for productive pages and analyze all sites to increase traffic to the same and assist in customer acquisition for various programs.• Perform analysis on all eCommerce activities every week and identify all obstacles for customers in the check out process and recommend improvements to the same.• Coordinate with all operations and marketing departments to achieve al financial objectives and design all online marketing programs for all consumer projects and perform analysis on return on investment and position all merchandise effectively.• Partner with eCommerce teams to perform and recommend improvements to site performance and prepare various ad hoc reports for multiple brands and analyze performance.• Develop and execute various new systems and provide enhancements to all existing systems and gather all requirements for the facilitation of all eCommerce activities and design user cases for efficient flow events according to regulations.• Monitor all redesigning processes and ensure incorporation of all new technology to site and perform research on all systems to improve processes and perform tests on new features and analyze all business requirements.
CompanyWe at Innovatz understand the digital transformation imperative – and how insures can and should move forward in this transformation journey. Our deep functional knowledge, long industry experience and broad set of capabilities make Innovatz ready to collaborate with insurer’s to develop programs that drive immediate value and set a strategic course to be a fully automated, analytics-driven and highly innovative future. Working as a strategic advisor, leading implementation support and services team, or services as full business partners is something we take pride in with a successful track record. We are ready to make the digital insurer a reality – starting today.
OUR MISSION is to deliver high end digital transformation projects to industries that power human connections through people process & technology.",0,KUALA LUMPUR,KUALA LUMPUR
Product Owner,GATES IT SOLUTION SDN BHD,"CYBERJAYA, SELANGOR",Product Management & Development (Information & Communication Technology),Contract/Temp,,"DescriptionScope of Works:
-Defining and prioritizing product features, creating product vision, roadmap, and strategy, collaborating with stakeholders to drive product development, and managing the product backlog.-Experience in analyzing complex data and processes and developing business requirements.-Product Management: Experience in product strategy, roadmap creation, and developing product vision.-Communication: Excellent communication skills both written and verbal with experience in collaborating with stakeholders, engineering, and cross-functional teams.Software Development: A strong understanding of software development processes and SDLC.
Requirements:- Bachelor's degree in Computer Science, Engineering, or related fields is required.5+ years of experience in Product Management, Business Analysis, or related fields.- Experience with Agile software development methodologies is preferred.- Certifications in relevant fields such as Product Owner Certification, Agile Scrum Certification, etc., are beneficial.- Willing to travel is a must.
CompanyOur value lies in our expertise and industry knowledge, proven and industry-tested IT solutions, and strong technology capabilities with entrepreneurial mindset. We continuously innovate and challenge our products and services through research and understanding our client’s business environment and today’s rapidly changing technology landscape.
Our VisionTo be a preferred IT solution provider.
Our MissionTo empower Business and Education by increasing productivity, profit, efficiency and effectiveness.
Our TeamDedicated, versatile, nimble and place high importance on clients needs, quality and timely deliveries.",0,SELANGOR,SELANGOR
Internship for Cybersecurity students – Apr or May Intake,QL Corporate Services Sdn Bhd,"SHAH ALAM, SELANGOR",Security (Information & Communication Technology),Full time,,"The page you were looking for could not be found. It might have been removed, renamed, or did not exist in the first place.",0,SELANGOR,SELANGOR
Business Analyst,Napera Software Technology Sdn Bhd,KUALA LUMPUR,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,,"DescriptionKey Objective 
As a Business Analyst, this role will be responsible for performing business requirement gathering for a number of systems and business processes in APAC region. The Lead Business Analyst will be involved from initial scoping, discovery and documentation of requirements right through the post implementation and continuous improvements.
Major Duties and Responsibilities 
 Define, estimate and plan detailed approach to analysis work streams. Facilitation of requirements gathering workshops or discovery. Understand the business domain / needs and help convert those into effective IT solutions. Collaborate with Bas and other technical and non-technical resources to ensure holistic and complete solutions. Capture detailed requirements from business users and stakeholders. Documents these requirements into User stories and/or Business Specifications for review and approval by business customers. Provide on-site support and management of User Acceptance Testing (UAT). Provide peer reviews. Ensures that change management processes are adhered to. Provides business logic recommendations and solutions aligned with business objectives. Support Testing processes (both IT and business testing). Work with users to establish best practice principles. Play an active role in app phases of the project lifecycle, encompassing planning, functional design, development, testing, user liaison, training, deployment planning and execution, and end-user support.
CompanyNapera Software Technology (M) Sdn Bhd is Information Technology (IT) consulting firm, software development house and IT staff augmentation company, that assists medium to large corporate entities and governmental organizations across Malaysia in meeting their unique business and technical needs. Established back in 1995 and got accredited as a MSC-status company in 2002 by Malaysia Multimedia Development Corporation (MDeC). Napera Software Group (NSG) has withstand through the trial of time, with twenty two (22) years of experience and history, we are international in terms of resource distribution, our IT staff strength is over hundreds people from different nationalities and we are growing considerably in the various IT areas of focus. Our services include IT process improvement consulting, software application development, automated & manual testing, shared services outsourcing and talent acquisition services. In the area of shared services outsourcing, we provide “IT Outsourcing” i.e. IT staff augmentation, “Knowledge Processing Outsourcing” i.e. Project Management services outsourcing and “Business Process Outsourcing” i.e. Human Resource services outsourcing. We keep ourselves abreast and competent with the latest and emerging technologies; thereby efficiently providing top of the edge software solutions, service delivery and support services to our customer. We collaborate with world renowned universities for continuous research and innovation.",0,KUALA LUMPUR,KUALA LUMPUR
Digital Transformation Agent (Internship),Konica Minolta Business Solutions (M) Sdn Bhd,KUALA LUMPUR,Help Desk & IT Support (Information & Communication Technology),Full time,,"At Konica Minolta, our Mission is to be the ideal business partner of choice in Office Business and IT Services solutions. Through collaboration between our colleagues, partners, and customers, we strive to enrich society through constant innovation and the development of solution-driven tools.
Job Responsibilities:

To Operate with imaging tools for use in the creation of electronic files or archives.
Prepare, scan, and perform quality checking of documents/images being converted to
electronic/digital format and ensure the outputs are properly transferred and indexing of images.
To clean and perform basic maintenance on scanning equipment. Troubleshoot and adjust equipment when necessary.
Relies on instructions and pre-established guidelines to perform the functions of the job and strictly follow workflow process and chain of command.
Keep work station clean and organized and maintain departmental efficiency standards relating to volumes and service levels and complete jobs before due date especially on the daily KPI set on the deliverables by the team lead.
Interact with other team members as necessary to accomplish goals.
Train or assist other associates on aspects of processing to ensure they have the same understanding of the scanning operation.
Recognize and report problems and issues typical to equipment and given processes.
Responsible to report all the completed daily tasks to the superior.
To perform transportation activities, including moving items and packages to reach destinations on schedule, arranging and/or performing logistic services as necessary.
Perform all other duties as assigned by superior.

Job Requirements:

Candidate should possess a Diploma/ Advanced Diploma, Bachelor's Degree or equivalent in Computer Science/ Information Technology
Preferably an intern specializing in information technology or equivalent
Good communication skills in English language for both spoken and written.

If this role sounds like the opportunity you are looking for, don't hesitate to apply and let us discuss further!
[NOTE] We regret to inform you that only shortlisted candidates will be reached out. If you were not shortlisted, we encourage you to have a look at other vacancies in Konica Minolta!",0,KUALA LUMPUR,KUALA LUMPUR
Associate Manager,IQVIA,"PETALING, SELANGOR",Networks & Systems Administration (Information & Communication Technology),Full time,,"

 
 
 
 Share This Job
 
 
 
 
 Apply Now 
 
 
 Petaling Jaya, Malaysia
 
 
 
 
 Full time 
 
 
R1397873 
 
 
 Job available in additional locations
 
 
 Malaysia
 
 
 
 



Job OverviewThis role demands a blend of technical expertise and healthcare domain knowledge, enabling you to address complex challenges and enhance our platforms to meet evolving user needsManages a team of junior employees.Develops and communicates plans and priorities to meet team performance and results requirements.
Essential Functions• Manages a team of junior employees.• Develops and communicates plans and priorities to meet team performance and results requirements.• Establishes team processes, goals, and procedures and tracks performance.• Spearhead back-end development, including architecting APIs for integration with external systems.• Lead the creation and maintenance of comprehensive documentation and procedures for software installation and maintenance.• Ensure optimal functionality and performance of applications through rigorous testing and debugging.• Provides coaching and guidance on job performance and career development to direct reports.
Qualifications• Bachelor's Degree Computer Science, a related field, or equivalent experience Req• Minimum of six (6) years of related experience in Information Technology• Extensive experience in object-oriented programming (C#, Java, Ruby, Python).• Proficient with JavaScript and Node.js; additional front-end technologies are advantageous.• Deep knowledge of relational and non-relational databases; advanced SQL skills are essential. MongoDB expertise is highly valued.• Proven ability to work collaboratively, mentor others, and adapt in a fast-paced and evolving environment.
IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com

",0,SELANGOR,SELANGOR
IDENTITY & ACCESS MANAGEMENT ENGINEER,Impressive Communications Sdn Bhd,"PETALING, SELANGOR",Networks & Systems Administration (Information & Communication Technology),Contract/Temp,,"Description• Design, deploy, and maintain Privileged Access Management solutions to protect critical systems and data.• Configure and manage PAM tools to control, monitor, and audit privileged access.• Identify and catalogue privileged accounts and credentials across the organization.• Establish processes for onboarding and provisioning privileged accounts.• Implement role-based access control (RBAC) and just-in-time (JIT) privilege elevation where process meets requirements.• Monitor and audit privileged account activity to detect and respond to anomalies and unauthorized access.• Implement password rotation policies and automate password management where possible on privileged accounts.• Ensure the secure storage and retrieval of privileged credentials using current tools.• Develop and maintain incident response procedures related to privileged access.• Participate in security incident investigations and contribute to the resolution of PAM-related incidents.• Ensure that PAM practices and policies align with industry regulations and compliance standards.• Propose for PAM policies enhancement and PAM process improvement. • Create and maintain comprehensive documentation of PAM policies, procedures, and configurations.• Create training and awareness programs for staff and stakeholders on PAM best practices.• Collaborate with IT and security teams to integrate PAM solutions into various systems and applications.• Work closely with vendors and third-party providers for PAM-related services.• Collaborate with Threat Defense (CSTD) team to integrate PAM with the security monitoring tool.• Standby rotation basis with other PAM team members• Perform yearly PAM disaster recovery exercise• Ensure all support and operational work activities are recorded on ticketing system for traceability and audit
CompanyNature of Business : 
1) Selling, Repairing, Dealing and providing maintenance services of computer hardware, software and related products.
2) Total printing systems provider as buyers, sellers, operations, maintenance and supply of complete printing solutions and also to provide print-to-post service.",0,SELANGOR,SELANGOR
Java Developer (Fresh Graduate),SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.,KUALA LUMPUR,Developers/Programmers (Information & Communication Technology),Full time,,"
About the RoleIn line with team objectives, policies and procedures and under guidance of a more senior team member, to participate in design, coding, testing and maintenance of high quality application software/tools.
What Swift offers 
Swift doesn’t stand still. We are constantly evolving and tirelessly innovating. Working at the intersection of finance and technology is a very exciting place to be right now. Swift is transforming cross-border payments, making them faster and more transparent than ever before. We are the way the world moves value — every instant of every day, in almost every country.
We are proud that what we do has a critical impact on the global financial community and touches almost every aspect of the financial world. So, what you do at Swift has real impact too - an impact that matters every day. Which is why you matter to us.
Joining Swift gives you unparalleled exposure to knowledge, expertise and technologies. If you have what it takes, you’ll be able to take on different career paths and have the opportunity to work in teams, departments and disciplines in countries around the world. Swift is unique. There is no other organization like ours in the world driving the long-term future of the financial ecosystem. You’ll be surrounded by bright, customer-focused and intellectually curious people in a collaborative, friendly, open and inclusive environment.
At Swift we are trusted every instant. Everything we do has an impact that matters. And as a member of our team, you are trusted to make your impact every day.
What we offer

We put you in control of career
We give you a competitive package
We help you perform at your best
We help you make a difference
We give you the freedom to be yourself

We are creating an environment of unique individuals – like you – with different perspectives on the financial industry and the world. An environment in which everyone’s voice counts and where you can reach your full potential regardless of age, background, culture, color, disability, gender, nationality, race, religion, sexual orientation, or veteran/military status.
About the CI tribe 

Delivering our customers with a, effortless and frictionless experience across their interactions with Swift,  while increasing their autonomy, is what our Tribe is all about! ! As the Customer Interaction (CI) Tribe we are on a mission to improve these end to end interactions and to enable our customers to have a meaningful experience interacting with Swift. Our ambition is to ensure our external and internal customers can be autonomous and can easily find, learn about, order, activate, adopt and operate our products and services. We started this journey 2 years ago and are now looking to enforce our Tribe.
You will be joining a diverse Tribe of 120 enthusiastic people , spread over 3 locations (Belgium, Malaysia and the Netherlands). We value our collaborative, learning and open feedback culture.
Even if you are not sure if you are an exact fit, we want to talk to you.
Our mission
The CI- Engaging Cluster is a cluster of squads putting in place a large range of customer experience touch point including Event management, Community engagement, Nurturing channel, Sales and quotation management and Information channels, taking care for the when it. 
What to expect
As a Junior Software Engineer you will be working closely with internal customers, technical analysts and other engineers to develop your product/service. You will ensure the gathering of technical market insights and customer needs, combine that with your expertise and you will stay focus on continuous improvement to deliver key product improvements to achieve customer satisfaction having the end-to-end ownership of your daily activities. You will be involved in all stages of software development, being front-end development, back-end development, database integrations, network and hosting management, user interface, user experience, and back-end server management.
Key responsibilities:

Design, develop, test, install and support programs/systems,
Support projects proposals based on cost/benefit justification interfacing with stakeholders across functional and geographical lines,
Meet with customers to understand needs and requirements, and make recommendations on best practice systems solutions for small to medium size/complexity/risk projects,
Analyse detail systems factors: input/output requirements, information flow, hardware and software requirements, alternative approaches, etc.,
Validate alternative problem management proposals and make decisions on solutions,
Provide technical assistance to other Swift colleagues and assist in resolving problems reported by less senior team members.

What will make you successful?
a) Experience & Education

University degree in Computer Science or related disciplines/equivalent work experience
Fresh graduate with strong interest in software development 

b) Technical Skills 

Solid programming/coding experience in Java EE 11 or newer, Spring Framework, Spring Boot, Angular 2+, TypeScript & JavaScript
Solid understanding of Web technologies including HTML, CSS, AJAX, Web Services, SOAP, REST, Apache Tomcat and Apache HTTP Server.
Practical experience of Linux OS (RedHat Enterprise Linux)
Knowledge in DevOps and experience in branching strategies, continuous integration, testing, deployment, and monitoring. In an Agile environment that require a high degree of scalability and reliability
Knowledge in configuration management and software deployment orchestration using Ansible
Eager to learn and to stay up to date with the latest technologies

c) Soft Skills 

Adaptability and responsiveness to change
Strong communication skills (both written and oral)
Team player, willing to work in multicultural environment
Ability to influence, work effectively across all levels and transversally; challenger, curious and a positive mindset
Capacity to innovate, think out of the box and connect the dots: challenge the status quo, and think out of the box for alternative/most efficient solutions
Customer oriented: making customers and their needs a primary focus
Agile experience is an asset

About us 
Swift is a member-owned cooperative that provides the communication platform, products and services to connect more than 10,000 banking organizations, securities institutions and corporate customers in 200 countries.
Driven by unprecedented regulatory pressure, increased customer expectations and fierce competition, the financial services landscape is transforming rapidly and Swift just renewed its ambition to deliver instant and frictionless transactions. Delivering on the strategy implies an increased focus on data and data capabilities as it requires an easier access to more and better data in a secure way. It also requires more advanced analytics to improve the customer experience, remove obstacles on the customer journey, and evolve from retrospective reporting to real-time, behaviour-driven engagement.
What we offer
We put you in control of career
We give you a competitive package
We help you perform at your best
We help you make a difference
We give you the freedom to be yourself
We give you the freedom to be yourself. We are creating an environment of unique individuals – like you – with different perspectives on the financial industry and the world. An environment in which everyone’s voice counts and where you can reach your full potential regardless of age, background, culture, colour, disability, gender, nationality, race, religion, or veteran/military status.
",0,KUALA LUMPUR,KUALA LUMPUR
Enterprise Server Support Engineer L2,Lenovo,"PETALING, SELANGOR",Help Desk & IT Support (Information & Communication Technology),Full time,,"

 
 Why Work at Lenovo
 


We are Lenovo. We do what we say. We own what we do. We WOW our customers.
Lenovo is a US$62 billion revenue global technology powerhouse, ranked #171 in the Fortune Global 500, employing 77,000 people around the world, and serving millions of customers every day in 180 markets. Focused on a bold vision to deliver smarter technology for all, Lenovo has built on its success as the world’s largest PC company by further expanding into growth areas that fuel the advancement of ‘New IT’ technologies (client, edge, cloud, network, and intelligence) including server, storage, mobile, software, solutions, and services.
This transformation together with Lenovo’s world-changing innovation is building a more inclusive, trustworthy, and smarter future for everyone, everywhere. To find out more visit https://www.lenovo.com and read about the latest news via our StoryHub.



 
 Description and Requirements
 


Position Description:
The Lenovo Technical Support Engineer is a critical member of the Lenovo SSG Premium Services team. Strong technical skills, complex problem collaboration skills, as well as outstanding customer support and professional communications skills are essential to ensuring the best possible customer experience while resolving a high percentage of customer incidents. Technical Support Engineers must resolve the most complex customer problems, often collaborating with OEM software and hardware Level 3 support teams.
Premium Services Technical Support Engineers must be experienced remote support agents, having strong technical troubleshooting skills in networking, storage, and Operating Systems. Industry leading certifications, with comprehensive server software problem resolution skills for major OEM server operating system software and hypervisors, as well as sophisticated hardware tuning, configuration, and performance management skills are required. Strong network infrastructure and security skills are also required. Excellent language, customer issue handling, and communication skills are essential to this position. Candidates may undergo a detailed interview process consisting of technical scenarios, customer skill vetting, as well as role play interviewing and hands-on problem recreation and problem resolution testing.
Key Responsibilities: 

Serve as the primary point of contact for SSG Premium Services hardware, storage, software, and overall problem resolution, interfacing and collaborating with Level 1 agents, Level 3 OEM agents, and hardware and software development teams.
Ownership of storage, all software, hypervisor, configuration, infrastructure, and usability issues
Resolve complex, collaborative calls working with Level 3 teams and HW/SW development teams, as well as hardware problem determination and hardware services delivery providers
Ensure customer incident resolution at industry leading incident closure rates
Maintain outstanding customer satisfaction scores, with the professional communications and soft skills necessary to defuse difficult customer situations and work to problem resolution
Accurately diagnose problem severity levels and prioritize call loads appropriately
Recreate customer issues when needed, using logs, system management tools, and industry-standard problem resolution tools and protocols
Generate accurate, high-quality trouble ticket, incident documentation, and knowledgebase updates, as well as other customer and problem documentation as required

Position Requirements:
Experience, Language, and Certification requirements:

One to Five years of contact center experience in similar Intel-based hardware environments
Prior experience as a Level 2 enterprise server support engineer 

Troubleshooting from a solution level for appropriate data collection (logs) and isolation: architectural level and interfaces between componentry and the data flow
o Networking troubleshooting skills (i.e. Internet protocols)
o Software oriented troubleshooting from the Operating System level 
Storage troubleshooting knowledge/skills (software-defined storage in Azure Stack, NetApp)
Expert technical knowledge of VMware, Microsoft, Red Hat, and SUSE operating systems
Deep technical expertise in industry-standard systems management tools

Preferred:
• Storage: NetApp NCSE or any other storage certificate strongly preferred
• VMware: VCP6-DCV, VCIX6-DCV strongly preferred
• Nutanix: NCP NCAP strongly preferred
• Microsoft: Certificate relates to Azure, MCSA and MCSE certifications (server operating systems, infrastructure, and cloud)
• Red Hat: RHCSA, RHCE, RHCA (Datacenter, Cloud)
• SUSE: CLA, CLP
",0,SELANGOR,SELANGOR
BACKUP AND STORAGE ENGINEER,Apping Technology Sdn. Bhd.,"SUBANG JAYA, SELANGOR",Networks & Systems Administration (Information & Communication Technology),Contract/Temp,,"DescriptionJOB DESRIPTION
 5-8 Years in Enterprise Computing operations and deployment.
 Preform as an engineering role in executing day to day IT backup operation.
 Delivery of new infrastructure services bases on request/project.
 Administering a largely virtualised production environment.
 Installation and support of infrastructure backup hardware and software.
 Resolving incidents within agreed service levels (SLA).
 Technical input into infrastructure changes following change management processes.
 Support for backup/storage failures and creating a solution to reoccurring issues.
 Required LUN migrations/setup experience.
 Identify underlying problems discovered during day-to-day backup operations and managing it until resolution.
 Create, maintain & execute routine operations schedules & processes.
 Ensuring configuration and documentation of infrastructure is complete and fit for the purpose.  Performing security vulnerability assessment and remediation.
SKILL
 Linux – CentOS/Red Hat/Solaris/Ubuntu.
 Windows Server 2008+ and above.
 AIX.
 Distributed Storage Technologies – FC SAN, IPSAN.
 Install, configure & support of Tape & Backup Technologies - Netbackup/Veeam
 Install, configure & support of Private Cloud Technologies - Nutanix/Openstack
 Install, configure & support of VMware (ESXi 6.5 and above).
 Install and configuration of EMC, SAN Storage or Dell storage hardware.
 Install and configuration of Veritas Netbackup, Commvault or Veaam.
 Automation techniques such as Python, PowerShell, Terraform, Ansible and Puppet.
 Experience with a variety of IT monitoring & management applications (such as manage Engine, Solarwinds).
 A solid understanding on how an IT Infrastructure work from the physical layer to the application layer.
 A solid understanding of storage and backup flows.
 An understanding of how applications communicate within the infrastructure.
 Degree in Computer Science or Electrical Engineering or similar work experience
 ITIL V4 Foundation
 RHCE, MCSE, VCS or EMC certificatesVMware, Netbackup, Windows Server, Veeam, Storage, San Storage, It Infrastructure, Terraform, Solarwinds, Nutanix, Emc, Python, Veritas Netbackup, Powershell, Openstack, Manage Engine, Aix, Linux, Ansible, Commvault, Applications, Puppet
CompanyApping consists of experienced on-shore and off-shore developers, technical consultants and project managers across Asia mainly in Hong Kong, Malaysia and India.https://www.appingtechnology.com/
Our goal is to maximize business value and ensure sustainability with custom technical solutions. We not only design stable and functional digital products, but we ensure our solutions are scalable and high quality.
At Apping, we believe that technology solutions should not be complex for users. Let us handle the complex and we will make the complex simple for you.
Apping is leading numerous system implementations and development projects in enterprise business applications. Our mission is to unleash each company's potential by empowering users with tools they’ll love. All our apps are full-featured, integrated, and easy to use. Our real-time monitoring on data also provides valuable insights for strategic business decision making.",0,SELANGOR,SELANGOR
